caracteristica,mi
122,0.5605328442855937
150,0.5552302770615984
94,0.5547539974864475
178,0.5464054160594731
151,0.5426438624309666
123,0.5408021199059214
206,0.5371274256249783
179,0.5354572755076128
95,0.5325379035011601
207,0.5311433186526919
234,0.5281162322983723
152,0.5210239509598495
235,0.5203499914555056
124,0.5194842975541301
66,0.5191847245219052
149,0.5191839698794909
262,0.5182877507154973
67,0.5182369274085321
96,0.5140770237304988
177,0.5132406045005848
39,0.5113078227789267
205,0.5085000522268786
261,0.5076480308515783
40,0.5062163101208514
121,0.5061422697438762
180,0.5039516673472058
68,0.5030475696912111
233,0.5024990027564504
125,0.4997060480546667
231,0.4993605974569335
153,0.49845435062768617
232,0.4983906494189396
176,0.4969748610666107
97,0.4966655143016441
204,0.49634865961543717
263,0.49610867238082346
203,0.4951806608068412
260,0.4936874563157576
259,0.49298472027895457
290,0.48844415600953717
148,0.4865559946504625
288,0.4863516660255671
70,0.48589419285858115
208,0.4857632887538257
93,0.48494852912376407
69,0.4845789829727698
41,0.48411057908163224
42,0.48211354222378766
287,0.48185084965221225
126,0.4804610228351138
289,0.48037445239697796
175,0.47833232713625984
43,0.47503156171499983
98,0.47490036980490746
44,0.47460820732960673
181,0.4697954586223885
71,0.4653076875724733
147,0.4620149185272404
154,0.46111298444176674
315,0.46108920189601355
99,0.46034887795746027
120,0.4565765015681693
473,0.4546679426133804
72,0.4525300673542243
127,0.4518907151398115
258,0.45063757270862137
236,0.4501044871823554
230,0.44973098936957534
474,0.44933714418550696
286,0.44621992065740024
417,0.4455534276003035
445,0.4454816788892546
202,0.44336338995844926
502,0.44326960288857764
100,0.4428298040539116
38,0.44237691744502916
501,0.4419622074970868
316,0.4419387448530636
314,0.4415215370381582
209,0.4395939906126398
389,0.4383834994675473
182,0.43776612009028026
446,0.43571554657872547
73,0.43492270225570406
101,0.43403005265976846
442,0.43117006187882057
555,0.4311049616770455
155,0.4305874661370237
443,0.42941220420725124
361,0.4284091853821774
291,0.4278420979578703
530,0.42668280440823825
415,0.4265457979861629
529,0.42634091076079716
471,0.4261724555273556
92,0.4255587289338183
470,0.4254672342827308
444,0.42421540085237375
128,0.42384531971703465
527,0.42368259132363795
