normalizador,f1_macro,precision,tiempo_seg,notas
clahe,0.7436541691828195,0.7485,0.6435706615447998,
per_image,0.7270412147339268,0.7375,0.28775858879089355,
minmax,0.7222038758351639,0.732,0.4461522102355957,
standard,0.7183574645875983,0.729,0.3709549903869629,
l2,0.697981670930478,0.716,0.18726515769958496,
robust,0.5306404150445144,0.5545,0.651423454284668,
pca_whiten,0.13645291426757775,0.145,1.0820131301879883,
