normalizador,f1_macro,accuracy
por_imagen,0.8356963294290951,0.838
standard,0.8281176924076806,0.8295
minmax,0.8272004626617713,0.8285
clahe,0.8147836336781265,0.816
l2,0.8140230448174262,0.818
robust,0.6166730944505112,0.624
blanqueo_pca,0.2196414704112457,0.2335
